Negara,Tanggal,Total Kasus,Total Kematian,Stringency Index,Populasi,GDP per Capita,Human Development Index
Cape Verde,2020-10-19,7752.0,86.0,68.98,555988,6222.554,0.654
Central African Republic,2020-10-14,4855.0,62.0,56.48,4829764,661.24,0.367
Chad,2020-10-19,1379.0,93.0,65.74,16425859,1768.153,0.404
Chile,2020-10-19,491760.0,13635.0,83.8,19116209,22767.037,0.843
China,2020-10-19,90972.0,4739.0,54.17,1439323774,15308.712,0.752
Colombia,2020-10-19,959572.0,28970.0,71.3,50882884,13254.949,0.747
Congo,2020-10-14,5156.0,92.0,56.48,5518092,4881.406,0.606
Costa Rica,2020-10-18,95514.0,1183.0,61.11,5094114,15524.995,0.794
Cote d'Ivoire,2020-10-19,20323.0,121.0,32.41,26378275,3601.006,0.492
Croatia,2020-10-19,25580.0,363.0,28.7,4105268,22669.797,0.831
Cyprus,2020-10-19,2644.0,25.0,46.3,875899,32415.132,0.869
Czech Republic,2020-10-19,173885.0,1422.0,48.15,10708982,32605.906,0.888
Democratic Republic of Congo,2020-10-19,11051.0,302.0,48.15,89561404,808.133,0.457
Denmark,2020-10-19,35392.0,680.0,50.93,5792203,46682.515,0.929
Djibouti,2020-10-19,5459.0,61.0,39.81,988002,2705.406,0.476
Dominica,2020-10-16,33.0,0.0,25.0,71991,9673.367,0.715
